compound_name,Canonical Smile,Predicted pIC50,standard_value,Bioactivity
"5alpha-Pregnane-3,20-dione",CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C,4.2545137,55652.70261538394,inactive
"5beta-Pregnane-3,20-dione",CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C,4.2545137,55652.70261538394,inactive
"Pregnane-3alpha,17alpha-diol-11,20-dione",CC(=O)C1(CCC2C1(CC(=O)C3C2CCC4C3(CCC(C4)O)C)C)O,4.2661443,54182.08638186068,inactive
"Silane, [[(3alpha,5beta,20S)-pregnane-3,20-diyl]bis(oxy)]bis[trimethyl-",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)C)O[Si](C)(C)C,4.4578996,34841.78765011439,inactive
5beta-Pregnane,CCC1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C,4.459183,34738.9577059199,inactive
"Pregnane-3,20-diol 3,20-disulfate",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OS(=O)(=O)O)C)C)OS(=O)(=O)O,4.674638,21152.52443956734,inactive
"11alpha-Hydroxy-5beta-pregnane-3,20-dione",CC(=O)C1CCC2C1(CC(C3C2CCC4C3(CCC(=O)C4)C)O)C,4.3170147,48193.14913525367,inactive
"5alpha-Pregnane-3,11,20-trione",CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CCC(=O)C4)C)C,4.2545137,55652.70261538394,inactive
"Silane, [[(3alpha,5beta,20S)-pregnane-3,17,20-triyl]tris(oxy)]tris[trimethyl-",CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.333714,46375.22093814729,inactive
"Pregnane-3,11,20-trione",CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CCC(=O)C4)C)C,4.2545137,55652.70261538394,inactive
5alpha-Pregnane,CCC1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C,4.459183,34738.9577059199,inactive
"(20S)-5-beta-Pregnane-3alpha,20-diol diacetate",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OC(=O)C)C)C)OC(=O)C,4.9245315,11897.851393285746,inactive
"(3beta,5beta)-Pregnane-3,20-diol",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,4.5779104,26429.53831538944,inactive
