canonical_smiles,standard_value,pIC50
CC(C)C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1,230.0,6.64
Cc1cc(C)c(OCC2C[C@@H](O)CC(=O)O2)c(c1)C(Cl)C1CCCCC1,1000.0,6.0
Cc1cc(-c2ccc(F)cc2)c(/C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(C)n1,1000.0,6.0
Cc1cc(-c2ccc(F)cc2)c(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(C)n1,260.0,6.59
CC(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@H]21,269.0,6.57
CC(C)c1c(C(=O)NCc2ccccc2)nn(-c2ccc(F)cc2)c1OC[C@@H](O)C[C@@H](O)CC(=O)O,3.8,8.42
CC(C)c1nc(-c2ccccc2)n(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1,2.6,8.59
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1ccc(Cl)c(Cl)c1,35000.0,4.46
CCn1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(C)c1C(=O)NCc1ccc(C(=O)OC)cc1.[Na+],1.6,8.8
CC(C)c1c(C(=O)N(C)Cc2ccc(F)cc2)nn(-c2ccc(F)cc2)c1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],6.6,8.18
O[C@@H]1C[C@@H](CCn2c(ccc2-c2ccc(F)cc2)C2CC2)OC(=O)C1,2000.0,5.7
CCCCC(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C21,8.7,8.06
CC(C)c1c(C(=O)NCc2cccc(F)c2F)nn(-c2ccc(F)cc2)c1OC[C@@H](O)C[C@@H](O)CC(=O)O,2.0,8.7
NC(=O)c1ccc(CNC(=O)c2nc(-c3ccc(F)cc3)n(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2C2CC2)cc1.[Na+],7.2,8.14
CC(C)c1sc(C(C)C)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],26.0,7.59
CC(C)c1ccc(Sc2cc3ncc(\C=C\[C@@H]4C[C@@H](O)CC(=O)O4)c(Sc4ccc(cc4)C(C)C)c3cc2Sc2ccc(cc2)C(C)C)cc1,14200.0,4.85
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1cnc2cc(Sc3ccc(F)cc3)c(F)cc2c1Sc1ccc(F)cc1,38900.0,4.41
COC(=O)C[C@H](O)C[C@H](O)\C=C\n1c(cc(c1-c1ccc(F)cc1)-c1cccc(Br)c1)C(C)C,0.5,9.3
Cc1cccc(CNC(=O)c2nc(-c3ccc(F)cc3)n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c2C2CC2)c1,7.2,8.14
Cc1cc(-c2ccc(Cl)cc2)c(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(C)n1,94.0,7.03
CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccn2)c1C(=O)Nc1ccccc1.[Na+],2.4,8.62
CC(C)n1nnc(C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c2ccc(F)cc2)c2ccc(F)cc2)n1.[Na+],300000.0,3.52
CCCCCCCCCCCCCCCC(O)(CC(O)=O)CC(O)=O,50000.0,4.3
Cc1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C(C)C.[Na+],330.0,6.48
Cc1nnnn1C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+],100.0,7.0
CC(C)c1sc(C(C)C)c(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1,26.0,7.59
Cc1cc(C(=C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c2nnnn2C)c2ccc(F)c(C)c2)ccc1F.[Na+],160.0,6.8
COc1ccc(OC2C[C@H](O)C[C@@H](/C=C/c3c(-c4ccc(F)cc4)nc(N(C)S(C)(=O)=O)nc3C(C)C)O2)c(OC)c1,2.0,8.7
CC(C)c1c(C(=O)N2CCCC(c3ccccc3)C2)nn(-c2ccc(F)cc2)c1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],1.5,8.82
O[C@@H]1CC(CC[C@@H]2CC[C@H]3CCCC[C@@H]3C2)OC(=O)C1,90000.0,4.05
CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccccc1,5.0,8.3
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+],13.0,7.89
O=C1C[C@H](O)C[C@@H](/C=C/c2ccc(OCc3ccc(F)cc3)c(Cl)c2Cl)O1,17000.0,4.77
Cc1cc(OCc2ccccc2)cc(C)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1,620.0,6.21
O=C([O-])C[C@H](O)CC(O)COc1c(Cl)cc(Cl)cc1CC1CCCCC1.[Na+],27.0,7.57
COc1ccc(cc1)-c1nc(n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c1-c1ccc(F)cc1)C(F)(F)F,68.0,7.17
Cc1ccccc1-c1cc(Cl)cc(Cl)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,370.0,6.43
[Na+].CC(C)c1nn(c(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1)-c1cnccn1,6.6,8.18
CN(C)S(=O)(=O)c1ccc(CNC(=O)c2nc(-c3ccc(F)cc3)n(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2C2CC2)cc1.[Na+],4.9,8.31
Cc1cc(cc(C)c1F)-c1nc(n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c1-c1ccc(F)cc1)C(F)(F)F,32.0,7.49
COc1ccc2ccccc2c1-c1ccc(C(C)C)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,9600.0,5.02
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(-c2ccc(F)cc2)nc(C(=O)NCc2ccccc2F)c1C1CC1.[Na+],1.5,8.82
CC(C)=Cc1sc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+],15.0,7.82
CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CCCC[C@@H](O)CC([O-])=O)[C@@H]12,110.0,6.96
CC(C)c1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C(C)C.[Na+],117.0,6.93
CCCCCOc1c(Cl)cc(Cl)cc1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1,13000.0,4.89
CCOC(=O)c1c(-c2ccccc2)c(C(C)C)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c1-c1ccc(F)cc1,50.0,7.3
COc1ccccc1CNC(=O)c1nc(-c2ccc(F)cc2)n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c1C1CC1,7.0,8.15
COCc1cccc(CNC(=O)c2nn(-c3ccc(F)cc3)c(OC[C@@H](O)C[C@@H](O)CC(=O)O)c2C(C)C)c1,31.0,7.51
O=C1C[C@H](O)C[C@@H](CCc2c(Cl)cc(Cl)cc2COc2ccccc2)O1,390.0,6.41
CC(CCc1ccc(Oc2ccccc2)cc1)CC(=O)O,20000.0,4.7
CC(C)c1sc(c(C2CCCC2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1,417.0,6.38
CCCOC1C[C@@H](C[C@H](O1)\C=C\c1c(nc(nc1-c1ccc(F)cc1)N(C)S(C)(=O)=O)C(C)C)OC(=O)c1cccnc1,8.0,8.1
CC(C)c1sc(c(C=C(C)C)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1,1000.0,6.0
COc1ccccc1-c1ccc(C(C)C)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,2200.0,5.66
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCCCc2ccccc2)O1,1450.0,5.84
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2CCc2ccccc2)O1,430.0,6.37
CC(C)c1cc(SC(C)(C)Sc2cc(-c3ccc(F)cc3)c(OC[C@H](O)C[C@@H](O)CC(=O)[O-])c(C(C)C)c2)cc(-c2ccc(F)cc2)c1OC[C@H](O)C[C@@H](O)CC(=O)[O-].[Na+].[Na+],10.0,8.0
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cccc1Cl,7900.0,5.1
CC(CC(O)=O)CC(=O)c1ccc(Sc2ccccc2)cc1,240000.0,3.62
CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)NCc1cccc(Cl)c1)-c1ccc(F)cc1,5.4,8.27
CC(C)c1nn(Cc2ccccc2)c(-c2ccc(F)cc2)c1CC[C@H]1C[C@H](O)CC(=O)O1,158.0,6.8
CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@@]32C)[C@@H]2CCC([C@H](C)C[C@H]3C[C@@H](O)CC(=O)O3)[C@@]12C,7000.0,5.15
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)-c1ccccc1CCC2.[Na+],2600.0,5.59
Cc1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(C)n1-c1ccccc1.[Na+],70.0,7.15
Cc1ccc2c(C)cc(C)c(CCC3C[C@@H](O)CC(=O)O3)c2c1,360.0,6.44
COc1cccc(Sc2cc3ncc(\C=C\[C@@H]4C[C@@H](O)CC(=O)O4)c(Sc4cccc(OC)c4)c3cc2Sc2cccc(OC)c2)c1,15400.0,4.81
CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C#N)-c1ccccn1)-c1ccc(F)cc1,4.8,8.32
CC(C)c1ccc(Sc2c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)cnc3cc(Cl)c(F)cc23)cc1,22050.0,4.66
COc1ccc(cc1)C(=C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c1nnnn1C)c1ccc(OC)cc1,1400.0,5.85
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2-c2ccc(Cl)c(Cl)c2)O1,25.0,7.6
O[C@@H]1C[C@@H](CCn2c(ccc2-c2ccc(F)cc2)C2CCCCC2)OC(=O)C1,100000.0,4.0
CC(C)c1c(O)c(-c2ccc(F)cc2)c(C(C)C)c(OC[C@@H](O)C[C@@H](O)CC([O-])=O)c1C(C)C,4.0,8.4
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H]1C[C@H](OCc2ccccc2)CC(OCC(Cl)(Cl)Cl)O1,2.0,8.7
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)CCCC2.[Na+],5300.0,5.28
C[C@@H]1C[C@H](OC(=O)Oc2ccccc2)C2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1,83.0,7.08
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2cccc(F)c2)O1,580.0,6.24
CC(C)c1c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(C)n1-c1ccccc1)-c1ccc(F)cc1,6.0,8.22
Cc1cc(C)cc(-c2cc(Cl)cc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c1,13.0,7.89
COC(=O)C[C@H](O)C[C@H](O)CCn1c(cc(c1-c1ccc(F)cc1)-c1ccc(F)cc1)C(C)C,105.0,6.98
CC(C)c1nc(Nc2ccnn2C)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],2.4,8.62
OC(COc1c(Cl)cc(Cl)cc1C(c1ccc(F)cc1)c1ccc(F)cc1)C[C@@H](O)CC([O-])=O,950.0,6.02
Cc1cc(-c2ccccc2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],38.0,7.42
CC(C)c1c(S(=O)(=O)N(C)C)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],6.5,8.19
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1Oc1ccccc1,1100.0,5.96
O[C@H](C[C@H](O)\C=C\c1c2CCCC(Cc3ccc4ccccc4c3)c2nn1-c1ccc(F)cc1)CC([O-])=O,9.0,8.05
O=C([O-])C[C@H](O)CC(O)COc1c(CCCOc2ccc(F)cc2)cccc1C1CCCC1.[Na+],1000.0,6.0
[Na+].Cc1cc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1,38.0,7.42
CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C1CCCCC1.[Na+],9.0,8.05
Cc1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],100.0,7.0
CC(C)c1nc(cc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)C(C)(C)C,1.0,9.0
CC(C)c1sc(c(C2CCCCC2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1,202.0,6.69
CCC(CC)(c1ccccc1)c1ccc(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c1.[Na+],150.0,6.82
Cc1ccc(-n2nc(C(C)C)c(CC[C@H]3C[C@H](O)CC(=O)O3)c2-c2ccc(F)cc2)cc1,40.0,7.4
Cn1nnnc1C(\C=C\C(O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1,43.0,7.37
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1-c1ccccc1,80.0,7.1
CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1)S(=O)(=O)N1CCCCC1,2.9,8.54
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=C[C@H](C)[C@H](CCC(O)C[C@@H](O)CC(=O)O)C12,1.6,8.8
CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccc(F)cc1,1.0,9.0
