canonical_smiles,standard_units,standard_value
CC(C)n1nnnc1C(C=C=C[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+],nM,130000.0
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+],nM,13.0
CC(C)c1c(C(=O)OCc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,40.0
Cc1cc(F)ccc1C(=C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1nnnn1C)c1ccc(F)cc1C.[Na+],nM,29.0
CC(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+],nM,7900.0
Cn1nnnc1C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+],nM,300000.0
Cc1ccc(C(=C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c2nnnn2C)c2ccc(C)cc2)cc1.[Na+],nM,1300.0
CC(C)c1c(Br)c(Br)c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,28.0
CCOC(=O)c1c(-c2ccccc2)c(-c2ccccc2)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c1CC,nM,890.0
CC(C)c1nn(Cc2ccccc2)c(-c2ccc(F)cc2)c1CC[C@H]1C[C@H](O)CC(=O)O1,nM,158.0
CC(C)c1c(-c2ccccc2)cc(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,120.0
CC(C)C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+],nM,230.0
CCOC(=O)c1c(-c2ccccc2)c(C(C)C)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c1-c1ccc(F)cc1,nM,50.0
